image,populated,shottype
/m/mansion/00000001.jpg,3,5
/m/mansion/00000002.jpg,2,9
/m/mansion/00000003.jpg,4,0
/m/mansion/00000004.jpg,4,0
/m/mansion/00000005.jpg,5,9
/m/mansion/00000007.jpg,3,5
/m/mansion/00000010.jpg,5,8
/m/mansion/00000012.jpg,1,9
/m/mansion/00000013.jpg,2,9
/m/mansion/00000018.jpg,1,9
/m/mansion/00000019.jpg,4,9
/m/mansion/00000020.jpg,5,9
/m/mansion/00000022.jpg,4,9
/m/mansion/00000023.jpg,4,9
/m/mansion/00000026.jpg,2,9
/m/mansion/00000027.jpg,4,5
/m/mansion/00000029.jpg,4,9
/m/mansion/00000031.jpg,5,9
/m/mansion/00000032.jpg,4,6
/m/mansion/00000034.jpg,2,9
/m/mansion/00000035.jpg,2,0
/m/mansion/00000040.jpg,4,9
/m/mansion/00000041.jpg,1,9
/m/mansion/00000042.jpg,4,9
/m/mansion/00000044.jpg,1,9
/m/mansion/00000046.jpg,2,9
/m/mansion/00000050.jpg,1,9
/m/mansion/00000051.jpg,4,9
/m/mansion/00000052.jpg,2,9
/m/mansion/00000056.jpg,2,9
/m/mansion/00000059.jpg,1,9
/m/mansion/00000063.jpg,4,9
/m/mansion/00000064.jpg,2,9
/m/mansion/00000070.jpg,1,9
/m/mansion/00000071.jpg,1,9
/m/mansion/00000073.jpg,2,0
/m/mansion/00000074.jpg,4,9
/m/mansion/00000078.jpg,1,9
/m/mansion/00000080.jpg,1,0
/m/mansion/00000082.jpg,4,9
/m/mansion/00000083.jpg,2,9
/m/mansion/00000086.jpg,1,9
/m/mansion/00000087.jpg,4,9
/m/mansion/00000089.jpg,1,9
/m/mansion/00000093.jpg,5,9
/m/mansion/00000098.jpg,2,9
/m/mansion/00000099.jpg,2,9
/m/mansion/00000102.jpg,1,9
/m/mansion/00000105.jpg,2,9
/m/mansion/00000107.jpg,2,9
/m/mansion/00000108.jpg,2,9
/m/mansion/00000110.jpg,4,0
/m/mansion/00000113.jpg,1,0
/m/mansion/00000114.jpg,3,9
/m/mansion/00000116.jpg,5,8
/m/mansion/00000122.jpg,4,9
/m/mansion/00000132.jpg,2,9
/m/mansion/00000134.jpg,4,9
/m/mansion/00000138.jpg,4,6
/m/mansion/00000139.jpg,1,5
/m/mansion/00000141.jpg,5,9
/m/mansion/00000143.jpg,5,0
/m/mansion/00000144.jpg,4,0
/m/mansion/00000145.jpg,1,9
/m/mansion/00000146.jpg,2,9
/m/mansion/00000147.jpg,3,6
/m/mansion/00000148.jpg,4,9
/m/mansion/00000149.jpg,1,9
/m/mansion/00000153.jpg,2,9
/m/mansion/00000154.jpg,1,9
/m/mansion/00000156.jpg,2,9
/m/mansion/00000157.jpg,5,9
/m/mansion/00000158.jpg,4,9
/m/mansion/00000161.jpg,4,9
/m/mansion/00000166.jpg,5,9
/m/mansion/00000168.jpg,4,9
/m/mansion/00000169.jpg,2,0
/m/mansion/00000172.jpg,4,9
/m/mansion/00000174.jpg,2,9
/m/mansion/00000176.jpg,2,9
/m/mansion/00000177.jpg,4,9
/m/mansion/00000182.jpg,5,6
/m/mansion/00000184.jpg,2,9
/m/mansion/00000186.jpg,5,9
/m/mansion/00000187.jpg,1,9
/m/mansion/00000193.jpg,1,9
/m/mansion/00000196.jpg,1,9
