image,populated,shottype
/p/pagoda/00000001.jpg,5,6
/p/pagoda/00000002.jpg,5,5
/p/pagoda/00000003.jpg,4,9
/p/pagoda/00000005.jpg,2,0
/p/pagoda/00000007.jpg,4,9
/p/pagoda/00000012.jpg,5,6
/p/pagoda/00000014.jpg,4,9
/p/pagoda/00000015.jpg,4,9
/p/pagoda/00000016.jpg,1,4
/p/pagoda/00000017.jpg,4,9
/p/pagoda/00000018.jpg,4,9
/p/pagoda/00000022.jpg,4,9
/p/pagoda/00000023.jpg,4,9
/p/pagoda/00000024.jpg,1,9
/p/pagoda/00000025.jpg,5,5
/p/pagoda/00000026.jpg,4,9
/p/pagoda/00000028.jpg,5,0
/p/pagoda/00000031.jpg,1,9
/p/pagoda/00000035.jpg,2,0
/p/pagoda/00000036.jpg,5,2
/p/pagoda/00000037.jpg,5,9
/p/pagoda/00000038.jpg,4,4
/p/pagoda/00000039.jpg,4,9
/p/pagoda/00000041.jpg,3,6
/p/pagoda/00000042.jpg,1,8
/p/pagoda/00000047.jpg,1,9
/p/pagoda/00000048.jpg,5,9
/p/pagoda/00000051.jpg,1,9
/p/pagoda/00000054.jpg,2,0
/p/pagoda/00000055.jpg,1,0
/p/pagoda/00000057.jpg,5,9
/p/pagoda/00000058.jpg,4,9
/p/pagoda/00000061.jpg,1,9
/p/pagoda/00000062.jpg,4,9
/p/pagoda/00000063.jpg,4,9
/p/pagoda/00000064.jpg,5,9
/p/pagoda/00000066.jpg,4,6
/p/pagoda/00000067.jpg,1,6
/p/pagoda/00000068.jpg,3,2
/p/pagoda/00000069.jpg,1,9
/p/pagoda/00000070.jpg,5,8
/p/pagoda/00000071.jpg,5,9
/p/pagoda/00000072.jpg,1,9
/p/pagoda/00000073.jpg,4,9
/p/pagoda/00000074.jpg,1,4
/p/pagoda/00000078.jpg,4,5
/p/pagoda/00000079.jpg,1,9
/p/pagoda/00000081.jpg,4,9
/p/pagoda/00000082.jpg,5,9
/p/pagoda/00000084.jpg,5,9
/p/pagoda/00000085.jpg,4,9
/p/pagoda/00000087.jpg,4,5
/p/pagoda/00000089.jpg,1,9
/p/pagoda/00000090.jpg,1,9
/p/pagoda/00000093.jpg,1,9
/p/pagoda/00000094.jpg,4,9
/p/pagoda/00000097.jpg,2,0
/p/pagoda/00000100.jpg,4,9
/p/pagoda/00000101.jpg,4,6
/p/pagoda/00000102.jpg,4,9
/p/pagoda/00000103.jpg,5,9
/p/pagoda/00000104.jpg,4,8
/p/pagoda/00000108.jpg,1,9
/p/pagoda/00000110.jpg,3,0
/p/pagoda/00000111.jpg,3,8
/p/pagoda/00000112.jpg,1,4
/p/pagoda/00000113.jpg,5,8
/p/pagoda/00000116.jpg,4,5
/p/pagoda/00000117.jpg,5,9
/p/pagoda/00000118.jpg,5,6
/p/pagoda/00000119.jpg,1,9
/p/pagoda/00000121.jpg,5,6
/p/pagoda/00000122.jpg,1,8
/p/pagoda/00000124.jpg,5,9
/p/pagoda/00000125.jpg,4,9
/p/pagoda/00000126.jpg,4,5
/p/pagoda/00000127.jpg,4,0
/p/pagoda/00000129.jpg,4,9
/p/pagoda/00000131.jpg,5,9
/p/pagoda/00000132.jpg,4,9
/p/pagoda/00000133.jpg,5,9
/p/pagoda/00000134.jpg,3,0
/p/pagoda/00000135.jpg,4,5
/p/pagoda/00000136.jpg,5,8
/p/pagoda/00000137.jpg,4,9
/p/pagoda/00000144.jpg,5,9
/p/pagoda/00000145.jpg,4,9
/p/pagoda/00000146.jpg,4,9
/p/pagoda/00000147.jpg,5,9
/p/pagoda/00000148.jpg,5,9
/p/pagoda/00000150.jpg,4,9
/p/pagoda/00000154.jpg,5,6
/p/pagoda/00000158.jpg,3,4
/p/pagoda/00000159.jpg,3,6
/p/pagoda/00000161.jpg,5,9
/p/pagoda/00000163.jpg,5,9
/p/pagoda/00000164.jpg,5,5
/p/pagoda/00000166.jpg,4,9
/p/pagoda/00000167.jpg,1,0
/p/pagoda/00000170.jpg,4,8
/p/pagoda/00000171.jpg,4,9
/p/pagoda/00000172.jpg,1,0
/p/pagoda/00000174.jpg,1,9
/p/pagoda/00000175.jpg,2,9
/p/pagoda/00000177.jpg,4,9
/p/pagoda/00000180.jpg,1,0
/p/pagoda/00000182.jpg,5,2
/p/pagoda/00000183.jpg,5,9
/p/pagoda/00000185.jpg,3,6
/p/pagoda/00000186.jpg,4,9
/p/pagoda/00000187.jpg,4,9
/p/pagoda/00000188.jpg,5,7
/p/pagoda/00000189.jpg,4,8
/p/pagoda/00000191.jpg,4,8
/p/pagoda/00000193.jpg,5,9
/p/pagoda/00000197.jpg,4,9
/p/pagoda/00000200.jpg,5,9
/p/pagoda/00000202.jpg,4,0
/p/pagoda/00000204.jpg,5,9
/p/pagoda/00000206.jpg,5,5
/p/pagoda/00000207.jpg,5,9
/p/pagoda/00000208.jpg,5,9
/p/pagoda/00000209.jpg,1,9
/p/pagoda/00000210.jpg,4,9
/p/pagoda/00000211.jpg,4,2
/p/pagoda/00000212.jpg,1,8
/p/pagoda/00000215.jpg,4,9
/p/pagoda/00000216.jpg,4,6
/p/pagoda/00000217.jpg,4,6
/p/pagoda/00000218.jpg,1,9
/p/pagoda/00000219.jpg,3,0
/p/pagoda/00000220.jpg,2,0
/p/pagoda/00000222.jpg,4,5
/p/pagoda/00000224.jpg,1,9
/p/pagoda/00000225.jpg,1,9
/p/pagoda/00000227.jpg,1,0
/p/pagoda/00000232.jpg,3,0
/p/pagoda/00000234.jpg,2,0
/p/pagoda/00000237.jpg,1,9
/p/pagoda/00000238.jpg,4,9
/p/pagoda/00000239.jpg,3,7
/p/pagoda/00000240.jpg,5,9
/p/pagoda/00000241.jpg,5,9
/p/pagoda/00000244.jpg,2,9
/p/pagoda/00000245.jpg,5,2
