image,x,y,w,h
/f/fabric_store/00000005.jpg,287,229,45,67
/f/fabric_store/00000006.jpg,152,62,56,70
/f/fabric_store/00000011.jpg,99,175,20,31
/f/fabric_store/00000013.jpg,338,228,64,63
/f/fabric_store/00000016.jpg,517,377,38,46
/f/fabric_store/00000017.jpg,409,203,13,17
/f/fabric_store/00000020.jpg,567,280,15,17
/f/fabric_store/00000023.jpg,118,6,11,14
/f/fabric_store/00000044.jpg,84,509,46,61
/f/fabric_store/00000051.jpg,126,89,23,30
/f/fabric_store/00000053.jpg,161,101,13,18
/f/fabric_store/00000054.jpg,527,49,72,112
/f/fabric_store/00000058.jpg,49,377,21,33
/f/fabric_store/00000059.jpg,272,107,41,53
/f/fabric_store/00000062.jpg,287,147,137,183
/f/fabric_store/00000073.jpg,334,189,26,36
/f/fabric_store/00000077.jpg,355,106,41,55
/f/fabric_store/00000079.jpg,144,51,14,21
/f/fabric_store/00000080.jpg,356,272,9,15
/f/fabric_store/00000081.jpg,565,0,116,278
/f/fabric_store/00000082.jpg,529,18,72,98
/f/fabric_store/00000083.jpg,198,158,48,59
/f/fabric_store/00000084.jpg,444,0,168,165
/f/fabric_store/00000087.jpg,355,596,80,70
/f/fabric_store/00000090.jpg,312,45,113,155
/f/fabric_store/00000093.jpg,377,146,24,29
/f/fabric_store/00000095.jpg,168,164,119,143
/f/fabric_store/00000107.jpg,224,307,46,57
/f/fabric_store/00000114.jpg,343,48,89,121
/f/fabric_store/00000115.jpg,0,195,17,31
/f/fabric_store/00000117.jpg,288,141,72,89
/f/fabric_store/00000121.jpg,721,213,28,41
/f/fabric_store/00000122.jpg,108,71,61,77
/f/fabric_store/00000125.jpg,423,261,68,85
/f/fabric_store/00000127.jpg,228,300,24,23
/f/fabric_store/00000128.jpg,63,584,7,9
/f/fabric_store/00000129.jpg,599,152,38,45
/f/fabric_store/00000133.jpg,94,57,72,109
/f/fabric_store/00000134.jpg,111,242,55,73
/f/fabric_store/00000138.jpg,298,122,62,76
/f/fabric_store/00000141.jpg,192,231,115,150
/f/fabric_store/00000145.jpg,230,125,89,127
/f/fabric_store/00000149.jpg,258,272,21,39
/f/fabric_store/00000150.jpg,205,189,8,12
/f/fabric_store/00000153.jpg,46,137,17,20
/f/fabric_store/00000155.jpg,217,463,29,39
/f/fabric_store/00000159.jpg,778,78,29,25
/f/fabric_store/00000162.jpg,248,137,52,60
/f/fabric_store/00000164.jpg,321,209,30,40
/f/fabric_store/00000166.jpg,384,181,48,62
/f/fabric_store/00000171.jpg,673,210,73,63
/f/fabric_store/00000178.jpg,582,185,80,108
/f/fabric_store/00000183.jpg,209,130,44,56
/f/fabric_store/00000186.jpg,249,364,30,44
/f/fabric_store/00000187.jpg,689,386,53,76
/f/fabric_store/00000188.jpg,28,212,16,20
/f/fabric_store/00000190.jpg,562,237,23,26
/f/fabric_store/00000194.jpg,737,193,12,18
/f/fabric_store/00000196.jpg,703,45,67,95
/f/fabric_store/00000197.jpg,99,230,39,42
/f/fabric_store/00000212.jpg,238,55,33,49
/f/fabric_store/00000213.jpg,264,421,25,33
